Year,CashValue,Interest,AccInterest,Total,DeathBenefit,PremiumPaid
7,18108,600,2787,20895,402787,23716.00
8,22696,712,3666,26362,403666,27104.00
9,26472,816,4702,31174,404702,30492.00
10,30380,912,5896,36276,405896,33880.00
11,34432,1012,7262,41694,407262,37268.00
12,38620,1112,8810,47430,408810,40656.00
13,42948,1220,10558,53506,410558,44044.00
14,47416,1328,12520,59936,412520,47432.00
15,52028,1444,14715,66743,414715,50820.00
16,56776,1560,17158,73934,417158,54208.00
17,61664,1680,19867,81531,419867,57596.00
18,66688,1804,22863,89551,422863,60984.00
19,71852,1932,26167,98019,426167,64372.00
20,77148,2064,29801,106949,429801,67760.00
21,82580,2396,33985,116565,433985,71148.00
22,88140,2536,38560,126700,438560,74536.00
23,93824,2676,43550,137374,443550,77924.00
24,99632,2820,48983,148615,448983,81312.00
25,105560,2964,54886,160446,454886,84700.00
26,111600,3116,61295,172895,461295,88088.00
27,117748,3268,68241,185989,468241,91476.00
28,124000,3420,75755,199755,475755,94864.00
